Sigma_Factor,Sigma,Stimulation_Index,Interval,Element_Reentry_Rate,Element_Block_Rate,Element_Normal_Rate,Event_Type
0.0125,0.74,2.0,380.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.74,2.0,370.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.74,2.0,360.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.74,2.0,350.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.74,2.0,340.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.74,2.0,330.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.74,2.0,320.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.74,2.0,310.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,2.0,300.0,0.9461334678945376,5.03343004919894,94.02043648290652,Propagação_Normal
0.0125,0.74,2.0,290.0,0.0,99.09171187082124,0.908288129178756,Bloqueio
0.0125,0.74,3.0,380.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,370.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,360.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,350.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,340.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,330.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,320.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,310.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,300.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,290.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,280.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,270.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,260.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,250.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,240.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,230.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,220.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,210.0,0.529834742020941,5.03343004919894,94.43673520878012,Propagação_Normal
0.0125,0.74,3.0,200.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,380.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,370.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,360.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,350.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,340.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,330.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,320.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,310.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,300.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,290.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,280.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,270.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,260.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,250.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,240.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,230.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,220.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,210.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.74,4.0,200.0,0.8578276775577142,5.03343004919894,94.10874227324337,Propagação_Normal
0.0125,0.9,2.0,380.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.9,2.0,370.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.9,2.0,360.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.9,2.0,350.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.9,2.0,340.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.9,2.0,330.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
0.0125,0.9,2.0,320.0,0.0,5.03343004919894,94.96656995080106,Propagação_Normal
